Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
31;30-34;Feminino;Branca;Paraná (PR);Sul;Mestrado;Química / Física;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Masculino;Branca;Mato Grosso do Sul (MS);Centro-oeste;Mestrado;Química / Física;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Menos de 1 ano
25;25-29;Feminino;Parda;Minas Gerais (MG);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
48;45-49;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Mais de 10 anos;de 3 a 4 anos
30;30-34;Masculino;Preta;Amazonas (AM);Norte;Mestrado;Química / Física;Empregado (CLT);Engenheiro de Machine Learning/ML Engineer/AI Engineer;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 3 a 4 anos
41;40-44;Masculino;Branca;Pernambuco (PE);Nordeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 25.001/mês a R$ 30.000/mês;de 5 a 6 anos;Mais de 10 anos
31;30-34;Masculino;Indígena;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 20.001/mês a R$ 25.000/mês;Mais de 10 anos;de 1 a 2 anos
41;40-44;Masculino;Branca;Minas Gerais (MG);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;
28;25-29;Masculino;Preta;Minas Gerais (MG);Sudeste;Pós-graduação;Outra opção;Empregado (CLT);;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
42;40-44;Masculino;Branca;Pernambuco (PE);Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Mais de 10 anos
33;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;de 1 a 2 anos
26;25-29;Masculino;Branca;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;de 1 a 2 anos
34;30-34;Masculino;Parda;Paraná (PR);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
22;22-24;Masculino;Amarela;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 5 a 6 anos;Menos de 1 ano
36;35-39;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;de 5 a 6 anos
27;25-29;Prefiro não informar;Prefiro não informar;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 1 a 2 anos
24;22-24;Masculino;Branca;Paraná (PR);Sul;Mestrado;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;de 1 a 2 anos
32;30-34;Feminino;Branca;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Outra opção;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Outra Opção;de R$ 25.001/mês a R$ 30.000/mês;de 3 a 4 anos;Menos de 1 ano
18;17-21;Masculino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Somente Estudante (graduação);;;;
37;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;;de R$ 30.001/mês a R$ 40.000/mês;de 7 a 10 anos;de 1 a 2 anos
40;40-44;Masculino;Branca;Rio Grande do Sul (RS);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 20.001/mês a R$ 25.000/mês;Mais de 10 anos;Mais de 10 anos
53;50-54;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;Acima de R$ 40.001/mês;Mais de 10 anos;de 7 a 10 anos
51;50-54;Masculino;Preta;São Paulo (SP);Sudeste;Não tenho graduação formal;;Desempregado, buscando recolocação;;;;
31;30-34;Masculino;Branca;Espírito Santo (ES);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;de 1 a 2 anos
37;35-39;Feminino;Branca;Santa Catarina (SC);Sul;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39;35-39;Masculino;Parda;Distrito Federal (DF);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 30.001/mês a R$ 40.000/mês;Mais de 10 anos;de 3 a 4 anos
26;25-29;Feminino;Branca;Distrito Federal (DF);Centro-oeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Menos de 1 ano
26;25-29;Feminino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;de 1 a 2 anos
21;17-21;Masculino;Parda;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Cientista de Dados/Data Scientist;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano
33;30-34;Masculino;Amarela;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);;de R$ 16.001/mês a R$ 20.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Branca;Santa Catarina (SC);Sul;Mestrado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);;de R$ 8.001/mês a R$ 12.000/mês;Menos de 1 ano;Menos de 1 ano
29;25-29;Feminino;Preta;São Paulo (SP);Sudeste;Pós-graduação;Ciências Sociais;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33;30-34;Masculino;Branca;Goiás (GO);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;de R$ 8.001/mês a R$ 12.000/mês;Menos de 1 ano;de 1 a 2 anos
40;40-44;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);;de R$ 25.001/mês a R$ 30.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33;30-34;Feminino;Branca;São Paulo (SP);Sudeste;Doutorado ou Phd;Ciências Sociais;Trabalho na área Acadêmica/Pesquisador;;;;
35;35-39;Feminino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outra opção;Prefiro não informar;;Menos de R$ 1.000/mês;Menos de 1 ano;Menos de 1 ano
26;25-29;Masculino;Prefiro não informar;Distrito Federal (DF);Centro-oeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
31;30-34;Masculino;Parda;Bahia (BA);Nordeste;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
35;35-39;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Mais de 10 anos
28;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Analytics Engineer;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 1 a 2 anos
21;17-21;Masculino;Branca;São Paulo (SP);Sudeste;Não tenho graduação formal;;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36;35-39;Masculino;Parda;São Paulo (SP);Sudeste;Doutorado ou Phd;Química / Física;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
33;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empreendedor ou Empregado (CNPJ);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;de 5 a 6 anos
38;35-39;Masculino;Branca;Distrito Federal (DF);Centro-oeste;Mestrado;Ciências Sociais;Servidor Público;Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);;de R$ 25.001/mês a R$ 30.000/mês;Mais de 10 anos;de 3 a 4 anos
46;45-49;Masculino;Branca;Minas Gerais (MG);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;
31;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Menos de 1 ano
30;30-34;Masculino;Branca;Paraíba (PB);Nordeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;Minas Gerais (MG);Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Masculino;Parda;Ceará (CE);Nordeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
45;45-49;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);;de R$ 6.001/mês a R$ 8.000/mês;Mais de 10 anos;Mais de 10 anos
32;30-34;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;de R$ 3.001/mês a R$ 4.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Feminino;Preta;Minas Gerais (MG);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 5 a 6 anos
25;25-29;Masculino;Branca;Santa Catarina (SC);Sul;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
21;17-21;Masculino;Branca;Pernambuco (PE);Nordeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Outra Opção;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 1 a 2 anos
29;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Branca;Minas Gerais (MG);Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;de 3 a 4 anos
27;25-29;Feminino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Menos de 1 ano
33;30-34;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Mestrado;Outras Engenharias;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Cientista de Dados/Data Scientist;de R$ 20.001/mês a R$ 25.000/mês;de 5 a 6 anos;de 1 a 2 anos
27;25-29;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;de 1 a 2 anos
28;25-29;Masculino;Parda;Rio Grande do Sul (RS);Sul;Pós-graduação;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;de 3 a 4 anos
22;22-24;Masculino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Menos de 1 ano
33;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;de R$ 6.001/mês a R$ 8.000/mês;de 5 a 6 anos;Mais de 10 anos
34;30-34;Masculino;Branca;Distrito Federal (DF);Centro-oeste;Doutorado ou Phd;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Feminino;Branca;Mato Grosso do Sul (MS);Centro-oeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 30.001/mês a R$ 40.000/mês;Mais de 10 anos;de 3 a 4 anos
